Country,Other;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;NewRecovered;ActiveCases;Serious,Critical;Tot Cases/1M pop;Deaths/1M pop;TotalTests;"Tests/
1M pop
";Population;Continent;1 Caseevery X ppl;1 Deathevery X ppl;1 Testevery X ppl;New Cases/1M pop;New Deaths/1M pop;Active Cases/1M pop;Column1
Eswatini;75094;;1427;;73,116;;551;;63380;1204;1048704;885119;1184817;Africa;16;830;1;;;465;
Guyana;73385;;1299;;72,013;;73;;92419;1636;733218;923396;794045;South America;11;611;1;;;92;
Belize;71060;;688;;70,085;;287;6;172396;1669;576016;1397453;412190;North America;6;599;1;;;696;
Fiji;69117;;885;;67,226;;1,006;;75997;973;672883;739866;909466;Australia/Oceania;13;1028;1;;;1106;
Madagascar;68354;;1425;;66,862;;67;;2343;49;531329;18210;29178077;Africa;427;20476;55;;;2;
Cabo Verde;64470;;416;;63,755;;299;23;113568;733;401622;707482;567678;Africa;9;1365;1;;;527;
Sudan;63993;;5046;;58,947;;0;;1391;110;562941;12240;45992020;Africa;719;9115;82;;;;
Mauritania;63774;;997;;62,471;;306;;13010;203;1009957;206030;4901981;Africa;77;4917;5;;;62;
Bhutan;62697;;21;;61,564;;1,112;;79571;27;2303734;2923739;787941;Asia;13;37521;0;;;1411;
Syria;57743;;3165;;54,578;;0;;2982;163;146269;7553;19364809;Asia;335;6118;132;;;;
Burundi;54366;;38;;53,569;;759;;4306;3;345742;27386;12624840;Africa;232;332233;37;;;60;
Seychelles;50937;;172;;50,750;;15;;512311;1730;;;99426;Africa;2;578;;;;151;
Gabon;48992;;307;;48,674;;11;;21013;132;1621909;695641;2331533;Africa;48;7595;1;;;5;
Andorra;48015;;165;;47,563;;287;14;619844;2130;249838;3225256;77463;Europe;2;469;0;;;3705;
Papua New Guinea;46864;;670;;46,168;;26;7;5043;72;249149;26813;9292169;Australia/Oceania;198;13869;37;;;3;
Curaçao;45986;;295;;44,720;;971;3;277812;1782;496693;3000640;165529;North America;4;561;0;;;5866;
Aruba;44224;;292;;42,438;;1,494;2;410969;2714;177885;1653068;107609;North America;2;369;1;;;13884;
Tanzania;43078;;846;;N/A;N/A;N/A;7;681;13;;;63298550;Africa;1469;74821;;;;664;
Mauritius;43025;;1051;;41,278;;696;;33752;824;358675;281374;1274727;Africa;30;1213;4;;;546;
Mayotte;42027;;188;;N/A;N/A;N/A;;146815;657;176919;618038;286259;Africa;7;1523;2;;;135804;
Togo;39524;;290;;39,216;;18;;4553;33;812881;93641;8680837;Africa;220;29934;11;;;2;
Guinea;38563;;468;;37,757;;338;8;2781;34;660107;47607;13865691;Africa;360;29628;21;;;24;
Bahamas;38084;;844;;36,366;;874;1;95087;2107;257839;643767;400516;North America;11;475;2;;;2182;
Isle of Man;38008;;116;;N/A;N/A;N/A;;443335;1353;150753;1758422;85732;Europe;2;739;1;;;129450;
Lesotho;34790;;723;;25,980;;8,087;;15990;332;431221;198199;2175699;Africa;63;3009;5;;;3717;
Faeroe Islands;34658;;28;;N/A;N/A;N/A;5;703959;569;778000;15802409;49233;Europe;1;1758;0;;;547133;
Haiti;34403;;860;;33,372;;171;;2945;74;132422;11337;11680283;North America;340;13582;88;;;15;
Mali;33159;;743;;32,332;;84;;1544;35;804909;37483;21473764;Africa;648;28901;27;;;4;
Cayman Islands;31472;;37;;8,553;;22,882;1;467797;550;222773;3311280;67277;North America;2;1818;0;;;340116;
Saint Lucia;30149;;410;;29,095;;644;;162868;2215;210983;1139752;185113;North America;6;451;1;;;3479;
Benin;28036;;163;;27,847;;26;;2193;13;604310;47268;12784726;Africa;456;78434;21;;;2;
Somalia;27334;;1361;;13,182;;12,791;;1623;81;400466;23778;16841795;Africa;616;12375;42;;;759;
Micronesia;26547;;65;;N/A;N/A;N/A;1;225953;553;82430;701598;117489;Australia/Oceania;4;1808;1;;;162271;
Congo;25375;;386;;24,006;;983;;4377;67;347815;59991;5797805;Africa;228;15020;17;;;170;
San Marino;24915;;126;;24,760;;29;4;730967;3697;196855;5775414;34085;Europe;1;271;0;;;851;
Solomon Islands;24575;;153;;N/A;N/A;N/A;1;34077;212;;;721159;Australia/Oceania;29;4713;;;;11183;
Timor-Leste;23460;;138;;23,102;;220;;17131;101;278529;203391;1369429;Asia;58;9923;5;;;161;
Burkina Faso;22056;;396;;21,596;;64;;998;18;248995;11265;22102838;Africa;1002;55815;89;;;3;
Liechtenstein;21507;;94;;21,352;;61;;560268;2449;112457;2929559;38387;Europe;2;408;0;;;1589;
Gibraltar;20550;;113;;16,579;;3,858;;609720;3353;534283;15852213;33704;Europe;2;298;0;;;114467;
Macao;19887;;123;;3,487;;16,277;;29794;184;7850;11760;667490;Asia;34;5427;85;;;24385;
Grenada;19693;;238;;19,358;;97;4;173545;2097;182981;1612523;113475;North America;6;477;1;;;855;
Bermuda;18860;;165;;18,685;;10;;304493;2664;1029558;16622128;61939;North America;3;375;0;;;161;
Nicaragua;18491;;225;;4,225;;14,041;;2728;33;;;6779100;North America;367;30129;;;;2071;
South Sudan;18368;;138;;18,115;;115;1;1581;12;410280;35313;11618511;Africa;633;84192;28;;;10;
Tajikistan;17786;;125;;17,264;;397;;1786;13;;;9957464;Asia;560;79660;;;;40;
Equatorial Guinea;17229;;183;;16,907;;139;5;11512;122;365697;244342;1496662;Africa;87;8178;4;;;93;
Monaco;17090;;67;;15,992;;1,031;4;429580;1684;78646;1976875;39783;Europe;2;594;1;;;25916;
Tonga;16846;;13;;15,638;;1,195;;156345;121;535009;4965327;107749;Australia/Oceania;6;8288;0;;;11091;
Samoa;16778;;31;;1,605;;15,142;;82961;153;187397;926612;202239;Australia/Oceania;12;6524;1;;;74872;
Marshall Islands;16138;;17;;16,121;;0;;268711;283;;;60057;Australia/Oceania;4;3533;;;;;
Dominica;15798;;74;;15,673;;51;;218373;1023;229344;3170187;72344;North America;5;978;0;;;705;
Djibouti;15690;;189;;15,427;;74;;15441;186;305941;301094;1016097;Africa;65;5376;3;;;73;
CAR;15368;;113;;15,200;;55;2;3063;23;81294;16205;5016678;Africa;326;44395;62;;;11;
Gambia;12626;;372;;12,189;;65;;4935;145;155686;60851;2558482;Africa;203;6878;16;;;25;
Saint Martin;12324;;63;;1,399;;10,862;7;310194;1586;112382;2828643;39730;North America;3;631;0;;;273395;
Vanuatu;12019;;14;;11,976;;29;;37346;44;24976;77606;321832;Australia/Oceania;27;22988;13;;;90;
Greenland;11971;;21;;2,761;;9,189;4;210117;369;164926;2894810;56973;North America;5;2713;0;;;161287;
Yemen;11945;;2159;;9,124;;662;23;383;69;329592;10579;31154867;Asia;2608;14430;95;;;21;
Caribbean Netherlands;11682;;38;;10,476;;1,168;;438398;1426;30126;1130559;26647;North America;2;701;1;;;43832;
Sint Maarten;11051;;92;;10,905;;54;N/A;251353;2093;62056;1411454;43966;North America;4;478;1;;;1228;
Eritrea;10189;;103;;10,086;;0;;2782;28;23693;6470;3662244;Africa;359;35556;155;;;;
Niger;9931;;312;;8,890;;729;1;381;12;254538;9759;26083660;Africa;2626;83601;102;;;28;
St. Vincent Grenadines;9644;;124;;9,493;;27;;86454;1112;114197;1023720;111551;North America;12;900;1;;;242;
Guinea-Bissau;9614;;177;;8,929;;508;6;4659;86;145231;70385;2063367;Africa;215;11657;14;;;246;
Comoros;9109;;161;;8,939;;9;;10038;177;;;907419;Africa;100;5636;;;;10;
Antigua and Barbuda;9106;;146;;8,954;;6;1;91509;1467;18901;189943;99509;North America;11;682;5;;;60;
Liberia;8090;;295;;7,783;;12;2;1525;56;139824;26356;5305117;Africa;656;17983;38;;;2;
Sierra Leone;7766;;126;;N/A;N/A;N/A;;935;15;259958;31296;8306436;Africa;1070;65924;32;;;330;
